Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Christian Roa","HOU",0,0,0,3,0,3.1,5.400002156496909,10.800004312993819,0,0.2222222222222222,0.875,0.222222222,0,96.11789582905017,2.7000010782484547,6.168159725687689,7.389055403471663,9.8269770100168,-0.08141572010874287,"Christian Roa",27662,685005
"Max Scherzer","TOR",0,1,0,1,1,2,9,4.5,4.5,0.2,0.625,0,0.25,91.96134643554687,9,13.629387665024531,9.189053726196288,5.397854429483414,-0.08423978370716605,"Max Scherzer",3137,453286
"Tyler Uberstine","BOS",0,1,0,1,0,2.2,6.750001609325793,3.3750008046628963,3.3750008046628963,0.2857142857142857,1,0.125,0.25,93.16845092773437,3.3750008046628963,6.02249677085628,7.689054799080151,4.845654648626071,-0.08450242650563616,"Tyler Uberstine",29961,700413
"Luis Curvelo","TEX",0,0,0,2,0,3,6,3,3,0.3333333333333333,0.83333333,0.2,0.2,95.89719772338867,6,4.164600877940814,7.18905372619629,5.113054312268893,-0.08564327248988299,"Luis Curvelo",24710,681168
"Luis Gil","NYY",0,1,0,1,1,4,4.5,6.75,2.25,0.16666666666666666,0.71428571,0.5,0.2,95.32038922991072,6.75,5.604720496808743,8.439053726196288,6.882054165750742,-0.0921867859921934,"Luis Gil",21052,661563
"Robert Garcia","TEX",0,1,0,4,0,3.1,0,10.800001126527905,0,0.3076923076923077,0.625,0.538461538,0,94.21110534667969,8.100000844895927,6.859282279712674,6.78905410170559,8.00801454533228,-0.09334177804442775,"Robert Garcia",23363,676395
"Scott Barlow","ATH",0,0,0,3,0,2.1,19.28572528825142,7.714290115300568,3.857145057650284,0.3333333333333333,0,0.25,0.5,89.8915303548177,15.428580230601137,4.985639518229653,7.046198783846574,2.6356822833343347,-0.09569626846440163,"Scott Barlow",14993,605130
"Garrett Whitlock","BOS",0,1,0,3,0,3,15,6,3,0.2,0.38461538,0.5,0.5,,6,11.70590804686342,6.18905372619629,2.758653960625331,-0.10048715818618412,"Garrett Whitlock",20191,676477
"Kyle Nicolas","CIN",0,0,0,1,0,0.2,13.500014081612017,27.000028163224034,13.500014081612017,0.5,0.38461538,0.333333333,1,97.94212757457386,40.50004224483605,200.39555455873847,28.689080324796763,11.22066263128256,-0.10145979741972413,"Kyle Nicolas",27775,693312
"Phil Maton","CHC",0,0,0,2,0,1.2,10.800004506113025,5.400002253056512,5.400002253056512,0.5,0.43478261,0.142857142,0.25,,21.60000901222605,33.560895728599306,12.189057481290476,7.639616427060301,-0.10394886714897916,"Phil Maton",18064,664208
"Chris Bassitt","BAL",0,1,0,2,2,6.2,2.70000025749209,4.050000386238135,1.350000128746045,0.42857142857142855,0.60240964,0.5,0.125,91.25555419921875,9.450000901222316,7.307637216024407,6.789054069519077,6.464334460523676,-0.10538877671733358,"Chris Bassitt",12304,605135
"Matthew Liberatore","STL",0,0,0,1,1,5,10.8,3.6,3.6,0.4666666666666667,0.85365854,0.3125,0.285714285,94.88203260633681,7.2,11.862938934647184,7.189053726196289,3.8852142184972767,-0.1060345880688006,"Matthew Liberatore",22294,669461
"Jacob Webb","CHC",0,1,0,3,0,2.1,11.571430295706053,7.714286863804035,3.8571434319020175,0.5,0.65217391,0.285714285,0.333333333,93.07668264288651,11.571430295706053,9.636407664968544,8.760483127832536,4.930425866365539,-0.10605465702594874,"Jacob Webb",19274,657097
"Shawn Armstrong","CLE",1,0,0,3,0,3.1,16.20000154495254,10.80000102996836,2.70000025749209,0.2,1,0,0.166666666,93.38182861328124,2.70000025749209,5.76922000000438,7.089054098129308,5.626974591652953,-0.10999258586434618,"Shawn Armstrong",12857,542888
